,labels,words
107,Einsatz,"Funktion, Teamarbeit, Programmierarbeit, Arbeit, Neuentwicklung, Entwicklung, Quadratwurzelberechnung, Berechnung, Problem, Rechenoperation, Operation"
108,Aufwand,"Funktion, Übertragungsaufwand, Anpassungsaufwand, Entwicklungsaufwand, Teamarbeit, Programmierarbeit, Arbeit, Neuentwicklung, Entwicklung, Problem, Operation"
109,Maschine,"Arbeitsplatzrechner, Edvac-rechner, Edsac-rechner, Großrechner, Rechner, Microcomputer, Computer, Syntaxfehler, Fehler, Programmstelle, Stelle"
110,Einigung,"Fehler, Rechenschritt, Schritt, Programmstelle, Stelle, Stellung, Lizenzvereinbarung, Vereinbarung, Adresse, Art"
111,Einvernehmen,"Fehler, Rechenschritt, Schritt, Programmstelle, Stelle, Stellung, Lizenzvereinbarung, Vereinbarung, Adresse, Art"
112,Gerät,"Arbeitsplatzrechner, Edvac-rechner, Edsac-rechner, Großrechner, Rechner, Endgerät, Programmiergerät, Microcomputer, Computer, Stelle"
113,Briefmarke,"Arbeit, Fehler, Programmstelle, Stelle, Funktionsblock, Anweisungsblock, Softwarequalität, Qualität, Rechenoperation, Operation"
114,Arbeitsmittel,"Arbeitsplatzrechner, Edvac-rechner, Edsac-rechner, Großrechner, Rechner, Endgerät, Programmiergerät, Gerät, Microcomputer, Computer"
115,Stellung,"Schleife, Fehler, Programmstelle, Stelle, Ziel, Aufgabenstellung, Speicheradresse, Adresse, Setzen, Übersetzen"
116,Abkommen,"Fehler, Rechenschritt, Schritt, Programmstelle, Stelle, Stellung, Lizenzvereinbarung, Vereinbarung, Adresse, Art"
117,Abmachung,"Fehler, Rechenschritt, Schritt, Programmstelle, Stelle, Stellung, Lizenzvereinbarung, Vereinbarung, Adresse, Art"
118,Körperhaltung,"Syntaxfehler, Fehler, Programmstelle, Stelle, Programmierdokumentation, Dokumentation, Aufgabenstellung, Stellung, Speicheradresse, Adresse"
119,Computer,"Arbeitsplatzrechner, Edvac-rechner, Edsac-rechner, Großrechner, Rechner, Microcomputer, Fehler, Programmstelle, Stelle"
120,Zahl,"Arbeit, Syntaxfehler, Fehler, Programmstelle, Stelle, Softwarequalität, Qualität, Rechenoperation, Operation"
121,Bitte,"Maschinenbefehl, Aufrufbefehl, Prozessorbefehl, Vergleichsbefehl, Befehl, Datenbankaufruf, Aufruf, Speicheradresse, Adresse"
122,Verbundenheit,"Rechner, Foreach-schleife, Schleife, Funktionsblock, Anweisungsblock, Lizenzvereinbarung, Vereinbarung, Online-verbindung, Verbindung"
123,Verein,"Rechner, Foreach-schleife, Schleife, Funktionsblock, Anweisungsblock, Lizenzvereinbarung, Vereinbarung, Online-verbindung, Verbindung"
124,Ausführung,"System, Bereich, Anwendung, Programmausführung, Dateiversion, Version, Untervariante, Variante"
125,Stil,"Syntaxfehler, Fehler, Programmstelle, Stelle, Programmierdokumentation, Dokumentation, Programmierstil, Einrückungsstil"
126,Erstellung,"Newton-verfahren, Iterationsverfahren, Verfahren, Fehler, Codeerstellung, Programmstelle, Stelle"
127,Terminus,"System, Bereich, Anwendung, Dateiversion, Version, Untervariante, Variante"
128,Auswahl,"Fehler, Programmstelle, Stelle, Programmierdokumentation, Dokumentation, Programmierstil, Einrückungsstil"
129,Zusammenschluss,"Arbeitsplatzrechner, Edvac-rechner, Edsac-rechner, Großrechner, Rechner, Funktionsblock, Anweisungsblock"
130,Möglichkeiten,"System, Bereich, Anwendung, Dateiversion, Version, Untervariante, Variante"
131,Stilistik,"Fehler, Programmstelle, Stelle, Programmierdokumentation, Dokumentation, Programmierstil, Einrückungsstil"
132,Untersuchung,"Anforderungsanalyse, Performanzanalyse, Analyse, Rechenschritt, Schritt, Entwicklertest, Test"
133,Lesart,"System, Bereich, Anwendung, Dateiversion, Version, Untervariante, Variante"
134,Aufforderung,"Maschinenbefehl, Aufrufbefehl, Prozessorbefehl, Vergleichsbefehl, Befehl, Datenbankaufruf, Aufruf"
135,Produktion,"Newton-verfahren, Iterationsverfahren, Verfahren, Syntaxfehler, Fehler, Programmstelle, Stelle"
136,Richtung,"Foreach-schleife, Schleife, Bauziel, Ziel, Setzen, Übersetzen"
137,Ausrichtung,"Foreach-schleife, Schleife, Bauziel, Ziel, Setzen, Übersetzen"
138,Zugang,"Entwicklung, Berechnung, Obfuscator, Iterator, Rechenoperation, Operation"
139,Ausdruck,"Syntaxfehler, Fehler, Programmstelle, Stelle, Programmierdokumentation, Dokumentation"
140,Bestand,"Programmdatei, Datei, Software-dokument, Entwurfsdokument, Quelltextdaten, Eingabedaten"
141,Eingriff,"Neuentwicklung, Entwicklung, Quadratwurzelberechnung, Berechnung, Rechenoperation, Operation"
142,Daten,"Programmdatei, Datei, Software-dokument, Entwurfsdokument, Quelltextdaten, Eingabedaten"
143,Regel,"Annuitätsprinzip, Prinzip, Verarbeitungsvorschrift, Vorschrift, Urheberrechtsrichtlinie, Richtlinie"
144,Information,"Programmdatei, Datei, Software-dokument, Entwurfsdokument, Quelltextdaten, Eingabedaten"
145,Messwerte,"Programmdatei, Datei, Software-dokument, Entwurfsdokument, Quelltextdaten, Eingabedaten"
146,Ergebnissen,"Entwicklungsmethode, Iterationsmethode, Methode, Newton-verfahren, Iterationsverfahren, Verfahren"
147,Durchführung,"Newton-verfahren, Iterationsverfahren, Verfahren, Methodenimplementierung, Implementierung"
148,Ansicht,"Stelle, Aufgabenstellung, Stellung, Speicheradresse, Adresse"
149,Cluster,"Arbeitsplatzrechner, Edvac-rechner, Edsac-rechner, Großrechner, Rechner"
150,Hilfsmittel,"Arbeitsplatzrechner, Edvac-rechner, Edsac-rechner, Großrechner, Rechner"
151,Version,"Unix-anwendung, Anwendung, Dateiversion, Kompilieren, Konfigurieren"
152,Methode,"Entwicklungsmethode, Iterationsmethode, Newton-verfahren, Iterationsverfahren, Verfahren"
153,Rechenzentrum,"Arbeitsplatzrechner, Edvac-rechner, Edsac-rechner, Großrechner, Rechner"
154,Rechenmaschine,"Arbeitsplatzrechner, Edvac-rechner, Edsac-rechner, Großrechner, Rechner"
155,Möglichkeit,"Erstellungsmöglichkeit, Klassifizierungsmöglichkeit, Verwechslungsmöglichkeit, Endanwendersicht, Sicht"
156,Rechenhilfsmittel,"Arbeitsplatzrechner, Edvac-rechner, Edsac-rechner, Großrechner, Rechner"
157,Zusammenstellung,"Programmpaket, Paket, Editor, Endanwendersicht, Sicht"
158,Computernetzwerk,"Arbeitsplatzrechner, Edvac-rechner, Edsac-rechner, Großrechner, Rechner"
159,Umsetzung,"Programmausführung, Ausführung, Version, Untervariante, Variante"
160,Operation,"Neuentwicklung, Entwicklung, Quadratwurzelberechnung, Berechnung, Rechenoperation"
